ID,Job,Jobs_Group,Profile,Remote,Company,Location,City,State,Salary,Frecuency_Salary,Low_Salary,High_Salary,Mean_Salary,Skills
job_dda9612125d2eb12,Junior Business and Technology Analyst - Quality Assurance,Business Analyst,Junior,Hybrid,Axos Bank,"San Diego, CA 92122 (University City area)",San Diego,CA,,,,,,"['JavaScript', 'Java', 'Bachelor', 'Jira', 'Agile', 'Azure', 'C#', 'SQL']"
job_065335ad51053296,Business Analyst,Business Analyst,,,Trova,"Fort Lauderdale, FL+1 ubicación",Fort Lauderdale,FL,,,,,,[]
job_9258aa2e56b78b89,Associate or Business Systems Analyst I - Remote,Business Analyst,,Remote,USAble Life,"Little Rock, AR 72223+1 ubicación",Little Rock,AR,,,,,,"['Master', 'Bachelor']"
job_725db40a3e55a474,Associate IT Business Analyst,Business Analyst,,,Sherwin-Williams,"Cleveland, OH+1 ubicación",Cleveland,OH,"$63,118 - $87,346 por año",año,63118.0,87346.0,75232.0,"['Bachelor', 'Office']"
job_3e461abf4954d239,Business Analyst,Business Analyst,,Remote,Index Analytics Llc,Remote+1 ubicación,,,,,,,,"['Bachelor', 'Jira', 'Agile']"
job_b7340283d4cce9ab,IT Business Analyst I or II,Business Analyst,,Hybrid,Eugene Water & Electric Board,"Eugene, OR 97402 (West Eugene area)",Eugene,OR,,,,,,['Bachelor']
job_f9bc102a26744bd5,"Analyst, Business Intelligence",Business Intelligence,,Remote,The AES Corporation,Remote,,,,,,,,"['Google Cloud', 'Bachelor', 'Agile', 'Office', 'Power BI']"
job_9a0291ec023a8a2b,IT Business Analyst I/II,Business Analyst,,,Arbella Insurance Group,"Quincy, MA",Quincy,MA,,,,,,"['Bachelor', 'SQL', 'Agile']"
job_658c3cdb793bc407,Technology Business Analyst,Business Analyst,,,Xactus,"Salisbury, MD 21804+3 ubicaciones",Salisbury,MD,"$55,000 - $93,750 por año",año,55000.0,93750.0,74375.0,[]
job_720308d7d6b1aaf0,Business Intelligence Analyst II (Remote),Business Intelligence,,Remote,American Specialty Health Incorporated,Remote,,,,,,,,"['Bachelor', 'Tableau', 'SSRS', 'Access', 'Power BI', 'Excel', 'SQL']"
job_7fb7d10fc983a14e,HR Business Analyst II,Business Analyst,,Remote,Sheetz,"Claysburg, PA 16625",Claysburg,PA,,,,,,[]
job_7961ba04d01a1bee,Entry Level Business Analyst,Business Analyst,Junior,,Agama Solutions,United States,,,,,,,,"['R', 'Bachelor', 'Python', 'SQL']"
job_288af435c7cada80,Sr Technology Analyst - Data Analyst,Data Analyst,Senior,Remote,Southwest Airlines,"Dallas, TX 75235 (Northwest Dallas area)+1 ubicación",Dallas,TX,"$118,600 por año",año,118600.0,118600.0,118600.0,"['Tableau', 'Bachelor', 'SQL', 'English']"
job_8b46cf7b3f67505a,IT Business Analyst II (Remote),Business Analyst,,Remote,UNFI,"Eden Prairie, MN",Eden Prairie,MN,"$63,800 - $115,600 por año",año,63800.0,115600.0,89700.0,['Bachelor']
job_a0da85b1235517e8,Business Intelligence Analyst (Power BI),Business Intelligence,,Remote,Campus Crusade for Christ,"Orlando, FL",Orlando,FL,,,,,,"['Bachelor', 'Python', 'DAX', 'Power BI', 'R', 'SQL']"
job_8e083bab02e62d08,Business Systems Analyst,Business Analyst,,Remote,Dataflix,Remote,,,$85 por hora,hora,156400.0,156400.0,156400.0,"['Bachelor', 'Excel', 'SQL']"
job_1562466b6c0b476f,Business Intelligence Analyst,Business Intelligence,,,Southeastern Regional Medical Center,"Lumberton, NC",Lumberton,NC,,,,,,"['SAP', 'Tableau', 'Power BI']"
job_b1aefb23aa1cf209,Business Analyst,Business Analyst,,,Swinsoft,"Folsom, CA 95630",Folsom,CA,"$80,000 por año",año,80000.0,80000.0,80000.0,"['SAP', 'ERP', 'Master']"
job_7bf0491a6e93769d,Business Intelligence Analyst II - Remote,Business Intelligence,,Remote,Conifer Value,"Frisco, TX",Frisco,TX,,,,,,"['Excel', 'Bachelor', 'Access', 'Office']"
job_8447dedd3effb600,Business Analyst,Business Analyst,,Remote,Visa,"Bellevue, WA",Bellevue,WA,,,,,,"['Bachelor', 'Tableau', 'MBA', 'Power BI', 'PhD', 'Master']"
job_b7534aba3f7854a6,Project Business Analyst I,Business Analyst,,,Fluor Corporation,"Greenville, SC",Greenville,SC,,,,,,['SAP']
job_853865ab87f6f914,"Business Analyst - Parsippany, NJ",Business Analyst,,,Tilcon New York Inc,"Parsippany, NJ 07054+1 ubicación",Parsippany,NJ,,,,,,"['Word', 'Excel']"
job_e4c5513596067ae3,IT Business Intelligence Analyst,Business Intelligence,,,RENK America,"Muskegon, MI 49442",Muskegon,MI,"$70,000 - $90,000 por año",año,70000.0,90000.0,80000.0,[]
job_99512adc35f8a9f3,Business Intelligence Analyst,Business Intelligence,,,Discover Financial Services,"Riverwoods, IL 60015",Riverwoods,IL,,,,,,"['Bachelor', 'Hyperion', 'Tableau', 'Power BI', 'Qlik', 'Hadoop', 'SQL']"
job_4b70601f7f32708b,Business Analyst: IS Applications,Business Analyst,,,Nissan,"Smyrna, TN",Smyrna,TN,,,,,,"['Java', 'Bachelor', 'PowerPoint', 'Agile', 'Word', 'Office', 'Oracle', 'Access', 'Excel', 'SQL']"
job_9e98d3813bbe6dce,Senior Automation Business Analyst,Business Analyst,Senior,,Accelirate Inc.,"Sunrise, FL 33325+3 ubicaciones",Sunrise,FL,,,,,,['PowerPoint']
job_fece66be71305881,Business Strategy Analyst,Business Analyst,,,bswift,"Chicago, IL 60606 (West Loop Gate area)",Chicago,IL,"$85,000 - $95,000 por año",año,85000.0,95000.0,90000.0,"['Tableau', 'SQL']"
job_495d89e9c116b39d,Sr Business Analyst,Business Analyst,Senior,,Disney Media & Entertainment Distribution,"New York, NY+1 ubicación",New York,NY,"$92,700 - $113,300 por año",año,92700.0,113300.0,103000.0,"['Bachelor', 'Excel']"
job_62547caab72d1e93,"Analyst Business 1, 2, Senior",Business Analyst,Senior,Remote,Salt River Project,"Phoenix, AZ 85004 (Encanto area)",Phoenix,AZ,,,,,,['Bachelor']
job_1f6ae9ae48b53c49,"Sr. Analyst, Business Development",Business Analyst,Senior,,Comcast,"Philadelphia, PA 19103",Philadelphia,PA,,,,,,"['PowerPoint', 'Bachelor', 'Excel']"
job_38bc33b7858620c2,Business Intelligence Analyst/ SQL Developer,Business Intelligence,,,PharmaCord,"Jeffersonville, IN 47130",Jeffersonville,IN,,,,,,"['R', 'Bachelor', 'SQL', 'Power BI']"
job_816defb586579cbf,"Business Operations Analyst, Specialist [HYBRID]",Business Analyst,,Hybrid,52.26,"Alhambra, CA 91802+1 ubicación",Alhambra,CA,,,,,,['Bachelor']
job_a7323acf40db434f,Business Intelligence Analyst - Healthcare Vertical,Business Intelligence,,,The County of Santa Clara - County-Wide...,"San Jose, CA",San Jose,CA,,,,,,"['Bachelor', 'Tableau', 'SAP', 'Power BI', 'Qlik', 'Master', 'SQL']"
job_cedb65b6dad1ce83,Business Analytics & Reporting Analyst II,Financial Analyst,,,M&T Bank,"Williamsville, NY",Williamsville,NY,,,,,,"['Bachelor', 'Tableau', 'Python', 'Power BI', 'SQL']"
job_25ed4d3ad73939e4,Trainee - Business Analyst,Business Analyst,,Remote,LeewayHertz,"San Francisco, CA 94111 (Financial District area)",San Francisco,CA,,,,,,['MBA']
job_ab447700fc5b1f6a,"Business Analyst, Engineering",Business Analyst,,,findhelp,"Austin, TX 78731+2 ubicaciones",Austin,TX,"$77,760 - $97,200 por año",año,77760.0,97200.0,87480.0,['Agile']
job_fbc640c345fa0b4b,IT Business Data Analyst - Hybrid,Data Analyst,,Hybrid,Citi,"Elk Grove Village, IL 60007+4 ubicaciones",Elk Grove Village,IL,"$110,890 - $166,340 por año",año,110890.0,166340.0,138615.0,"['Bachelor', 'PowerPoint', 'Word', 'Office', 'Access', 'Master', 'Excel']"
job_cb58728102b47424,Business Analyst,Business Analyst,,,R4 Solutions,"Irwindale, CA",Irwindale,CA,,,,,,['Office']
job_39e2e642803a2862,Business Intelligence Analyst,Business Intelligence,,,Clayco,"Overland, MO 63114",Overland,MO,,,,,,"['Bachelor', 'R', 'Tableau', 'Python', 'Power BI', 'Qlik', 'SQL', 'DOMO']"
job_34b7c28ecbac56b3,"Consultant, Business Analyst (BA) Full Time",Business Analyst,,,"Traxion Group, Inc","New York, NY 10004 (Financial District area)+1 ubicación",New York,NY,"$150,000 - $160,000 por año",año,150000.0,160000.0,155000.0,['Office']
job_ec131ddc5294162f,Business analyst,Business Analyst,,Remote,Intone Networks,Remote+17 ubicaciones,,,,,,,,"['Bachelor', 'Agile', 'Word', 'Excel', 'SQL']"
job_4da4fe0deb31200b,Business Analyst,Business Analyst,,,Texas Historical Commission,"Austin, TX 78701 (Downtown area)",Austin,TX,"$6,500 - $7,100 por mes",mes,78000.0,85200.0,81600.0,[]
job_dcc0c0e6b38215cf,Sr Business Insights Analyst,Business Analyst,Senior,,Disney,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)+1 ubicación",Santa Monica,CA,"$112,586 - $151,030 por año",año,112586.0,151030.0,131808.0,"['R', 'SQL']"
job_b44e328d00e643ca,Associate Business Services Analyst,Business Analyst,,,CONAGRA,"Omaha, NE 68102",Omaha,NE,,,,,,"['PowerPoint', 'Bachelor', 'Word', 'Office', 'Excel']"
job_bba7250b2b67d9a5,"Analyst, Strategy & Business Development",Business Analyst,,Remote,Whirlpool Corporation,"Benton Harbor, MI+1 ubicación",Benton Harbor,MI,,,,,,"['Master', 'Bachelor', 'Google Sheets']"
job_9aba979fceaa8ba7,Business Analyst,Business Analyst,,Remote,Visionary Integration Professionals LLC,Remote,,,$80 - $90 por hora,hora,147200.0,165600.0,156400.0,[]
job_01998d06f88f7f78,Business Analyst,Business Analyst,,,RD Global Inc,"Fort Lauderdale, FL",Fort Lauderdale,FL,,,,,,['Bachelor']
job_d08db646bd0868e9,Business Analyst,Business Analyst,,,Ample IT Services,"Irving, TX 75038 (Cottonwood area)",Irving,TX,,,,,,"['Tableau', 'Bachelor', '.NET']"
job_3f8e3272c32e2069,"Business Analyst, Engineering",Business Analyst,,,"Findhelp, A Public Benefit Corporation","Austin, TX+2 ubicaciones",Austin,TX,"$77,760 - $97,200 por año",año,77760.0,97200.0,87480.0,['Agile']
job_3a8d6a9c099722c4,Business Strategy Analyst,Business Analyst,,,AmeriHome Mortgage,"Irvine, CA",Irvine,CA,,,,,,"['VBA', 'Bachelor', 'Excel']"
job_e078785382800bba,Business Process Analyst,Business Analyst,,Remote,Les Mills,Remote,,,"$100,000 por año",año,100000.0,100000.0,100000.0,[]
job_baa0029dc6b5974d,Digital Business Analyst (Hybrid),Business Analyst,,Hybrid,Fashionphile,"Carlsbad, CA 92011 (North Beach area)",Carlsbad,CA,"$80,000 - $100,000 por año",año,80000.0,100000.0,90000.0,"['Master', 'Bachelor', 'Office', 'Agile']"
job_f50e6fa5c0634301,Urban Outfitters Business Intelligence Analyst,Business Intelligence,,,"URBN Outfitters, Inc.","Philadelphia, PA 19112 (Marconi Plaza-Packer Park area)",Philadelphia,PA,,,,,,"['Excel', 'Access', 'SQL']"
job_dfe582d3cc6134cc,Business Intelligence Analyst,Business Intelligence,,,Flynn Restaurant Group Support Center Careers,"Independence, OH 44131",Independence,OH,,,,,,"['Python', 'SAP', 'Power BI', 'Excel', 'SQL']"
job_76cdb91488a468c2,Business Intelligence Business Analyst,Business Intelligence,,Hybrid,Farm Credit Services of America,"Omaha, NE 68137",Omaha,NE,"$96,620 - $149,800 por año",año,96620.0,149800.0,123210.0,"['Bachelor', 'Office', 'SQL']"
job_7300092fd68c3040,Business Systems Analyst 1,Business Analyst,,Hybrid,Yale University,"New Haven, CT 06511 (Dixwell area)",New Haven,CT,,,,,,"['Bachelor', 'Access', 'Office']"
job_b1e340edd1d88b8b,Business Analyst,Business Analyst,,,Siuvo,"Princeton, NJ 08540",Princeton,NJ,,,,,,"['Master', 'Bachelor']"
job_2e99cc1ad247ff8f,Business Systems Analyst,Business Analyst,,,Capital Group Companies,"Los Angeles, CA",Los Angeles,CA,"$99,025 - $158,440 por año",año,99025.0,158440.0,128732.5,['Agile']
job_d2117726b7ad70d6,Entry-Level Business Operations Analyst,Business Analyst,Junior,Hybrid,CSC (Corporation Service Company),"West Orange, NJ 07052",West Orange,NJ,,,,,,"['Bachelor', 'Excel']"
job_8aaedfd16e4523d1,Business Risk Analyst II - Commercial Risk,Business Analyst,,,M&T Bank,"Buffalo, NY+2 ubicaciones",Buffalo,NY,,,,,,['Bachelor']
job_4a4383d7fe248073,Business Analyst,Business Analyst,,,LSEG (London Stock Exchange Group),"New York, NY+1 ubicación",New York,NY,"$150,000 - $278,600 por año",año,150000.0,278600.0,214300.0,"['Jira', 'Bachelor', 'Office', 'SQL']"
job_7e49659fd39bdc04,Business Analyst,Business Analyst,,,Collarini Energy Experts,"Houston, TX",Houston,TX,,,,,,[]
job_c74ea04bd55e9907,Business Intelligence Analyst - Remote Opportunity,Business Intelligence,,Remote,Culinary Institute of America,"Hyde Park, NY 12538",Hyde Park,NY,,,,,,"['Office', 'Excel', 'SQL']"
job_32747a38d201b54c,Senior Business Analyst,Business Analyst,Senior,Remote,Exact Sciences Corporation,"Madison, WI 53719",Madison,WI,"$82,000 - $130,000 por año",año,82000.0,130000.0,106000.0,"['Bachelor', 'Jira', 'Agile']"
job_ad1a8a6ec8de62d1,Business Analyst,Business Analyst,,Remote,Eagle Eye Solutions,"San Francisco, CA",San Francisco,CA,,,,,,['Access']
job_ef01b98551066019,Business Analyst I,Business Analyst,,,Stanford University,"Redwood City, CA+2 ubicaciones",Redwood City,CA,"$70,000 - $103,000 por año",año,70000.0,103000.0,86500.0,"['Bachelor', 'Agile']"
job_57933f479214c038,Business Analyst,Business Analyst,,,Axos Bank,"San Diego, CA 92122 (University City area)",San Diego,CA,"$65,000 - $85,000 por año",año,65000.0,85000.0,75000.0,"['Bachelor', 'Agile']"
job_eb46487c54afa556,Business Analyst:,Business Analyst,,,BI Labs,"Brooklyn, NY+2 ubicaciones",Brooklyn,NY,,,,,,"['Bachelor', 'Oracle']"
job_e39205725456a6e8,"Business Analyst, eCommerce (remote)",Business Analyst,,Remote,US Foods,"Rosemont, IL",Rosemont,IL,"$61,100 - $90,800 por año",año,61100.0,90800.0,75950.0,"['HTML', 'Bachelor', 'Agile']"
job_43d28736761b37ea,Business Intelligence Analyst,Business Intelligence,,,"Creatd, Inc.","New York, NY",New York,NY,"$80,000 - $110,000 por año",año,80000.0,110000.0,95000.0,"['Tableau', 'Bachelor', 'Google Sheets', 'SQL']"
job_8bbf9a6c9dfed4af,Business Analyst – Applications Support Analyst,Business Analyst,,Remote,Art Center College of Design,"Pasadena, CA 91103 (North Arroyo area)",Pasadena,CA,"$94,000 - $120,000 por año",año,94000.0,120000.0,107000.0,"['ERP', 'Bachelor', 'Office']"
job_8fa5e503c9292e84,Business Insights Analyst,Business Analyst,,Remote,TodayTix Group,"New York, NY",New York,NY,"$90,000 - $110,000 por año",año,90000.0,110000.0,100000.0,"['AWS', 'Google Sheets', 'Looker', 'Excel', 'SQL']"
job_fed4b6077c4cf9e0,Business Analyst,Business Analyst,,,Labatt Food Service,"San Antonio, TX 78218",San Antonio,TX,,,,,,[]
job_2e2ef0615ccd0942,Sr Business Analyst,Business Analyst,Senior,Remote,GovCIO,Remote,,,,,,,,"['Bachelor', 'SQL', 'Agile']"
job_92439f7e03a2b3f5,"Business Process Analyst, Global IT",Business Analyst,,Hybrid,Colgate-Palmolive,"Piscataway, NJ 08854",Piscataway,NJ,"$88,800 - $147,000 por año",año,88800.0,147000.0,117900.0,"['SAP', 'Bachelor', 'SQL']"
job_8fb462950ab5d18b,Business Development Analyst,Business Analyst,,,Logic Rule,"Bellevue, WA",Bellevue,WA,,,,,,['Bachelor']
job_5a7c81ad85980cbf,Senior Technical Business Analyst,Business Analyst,Senior,Hybrid,Barclays,"Whippany, NJ",Whippany,NJ,,,,,,"['AWS', 'Azure', 'Tableau', 'Python', 'Qlik', 'SQL']"
job_79198443f2b7e539,Business Reporting Analyst,Financial Analyst,,,Linde plc,"Tonawanda, NY",Tonawanda,NY,,,,,,"['Bachelor', 'Tableau', 'Oracle', 'ERP', 'Power BI', 'Excel', 'SQL']"
job_3af6a0ddcdd91b03,Business Analyst III,Business Analyst,,,Integrity Marketing Group,"Omaha, NE",Omaha,NE,,,,,,"['MBA', 'Excel', 'Word']"
job_4fc2844622d9510c,Business Intelligence Analyst,Business Intelligence,,,Electrolux,"Miami, FL",Miami,FL,,,,,,"['Spanish', 'English']"
job_82e67a6a1ef2cb14,Business Strategy Analyst,Business Analyst,,,Western Alliance Bank,"Irvine, CA",Irvine,CA,,,,,,"['VBA', 'Bachelor', 'Excel']"
job_1c8d2ffce83aff63,"Senior Analyst, Strategy and Business Development",Business Analyst,Senior,,VentureChoice,"Palo Alto, CA",Palo Alto,CA,,,,,,[]
job_7df8ce5c7107d46b,SR Business Data Analyst,Data Analyst,Senior,Remote,Emerson,"Marshalltown, IA",Marshalltown,IA,,,,,,"['Power Apps', 'Bachelor', 'Power Query', 'Office', 'Access', 'Power BI', 'Power Automate', 'SQL']"
job_e94658f23cdb52c7,Business Systems Analyst,Business Analyst,,,UCLA Health,"Los Angeles, CA 90095",Los Angeles,CA,"$81,500 - $192,500 por año",año,81500.0,192500.0,137000.0,"['Master', 'Bachelor', 'Office']"
job_0f754049a50e1057,Business Analyst,Business Analyst,,,Micro Support Center,"Saint Charles, IL 60174",Saint Charles,IL,,,,,,[]
job_f66f8fdad69c5912,"Associate Analyst, Business Insights",Business Analyst,,,CMI Media Group,"Parsippany, NJ 07054+3 ubicaciones",Parsippany,NJ,,,,,,"['PowerPoint', 'Bachelor', 'Tableau', 'Office', 'Adobe Analytics', 'Excel']"
job_25be6f8f369a4d36,Business Analyst,Business Analyst,,,Dollar Tree,"Chesapeake, VA 23320 (Greenbrier East area)",Chesapeake,VA,,,,,,"['Bachelor', 'Word', 'Tableau', 'Office', 'Oracle', 'ERP', 'Artificial Intelligence', 'Power BI', 'Excel']"
job_027c412431667b41,Sales Operations Business Analyst,Business Analyst,,,Reynolds and Reynolds,"Dayton, OH 45430+1 ubicación",Dayton,OH,,,,,,"['Bachelor', 'Office']"
job_8d3c6ed7671af60e,Entry-Level Business Analyst,Business Analyst,Junior,,Global Systems,"Irving, TX 75038 (Cottonwood area)",Irving,TX,,,,,,"['Master', 'Oracle']"
job_fd27ac3e444da395,Business Intelligence Analyst,Business Intelligence,,,IT Suggest,"Bellevue, WA",Bellevue,WA,"$65,100 por año",año,65100.0,65100.0,65100.0,[]
job_a706d4bb336a02db,Junior Business Analyst,Business Analyst,Junior,Remote,Enertia Software Com,"Houston, TX 77002 (Downtown area)",Houston,TX,,,,,,"['Azure', 'Bachelor', 'SQL']"
